what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312509723922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312509752319
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312509752444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312509770613
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.extract.interface",1312509770742
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1312509778681
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312509799393
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312509822207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312509828023
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312509828055
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.move.element",1312509828159
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1312509833241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312509840465
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312509984804
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312509990844
executed,command,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1312510006517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312510006549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312510008208
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312510015797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312510112583
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312510118477
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312510159633
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.refactor.quickMenu",1312510181343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312510187630
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312510187774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312510194382
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.move.element",1312510194477
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312510203335
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1312510222981
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggleMarkOccurrences",1312510228881
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1312510234015
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggleMarkOccurrences",1312510246269
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1312510249900
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1312510262155
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312510276821
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312510277245
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312510277335
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1312510286897
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312510290146
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312510290492
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1312510293645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312510297960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312510300643
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1312510305106
